name,category,gender,color,style,occasion,fit,season,recommended_skin_tones,recommended_body_types,temperature,material,tags,image_url
Light Blue Bomber Jacket 1,Outerwear,Unisex,Light Blue,Casual,"Date, University, Travel",Oversized,Autumn/Winter,"Fair, Medium, Deep","Slim, Average, Broad, Plus Size",Cool,Nylon,"Light Blue, casual, solid, minimal",images/outerwear/light_blue_bomber_jacket.jpg
White Sneakers 2,Shoes,Unisex,White,Casual,"Party, Date, University",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Leather,"White, casual, solid, minimal",images/shoes/white_sneakers.jpg
Olive Loafers 3,Shoes,Unisex,Olive,Smart Casual,Date,Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Suede,"Olive, smart casual, solid, versatile, minimal",images/shoes/olive_loafers.jpg
Navy Dress Shirt 4,Top,Unisex,Navy,Business Casual,"Presentation, Interview, Business Meeting",Slim Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic",Warm,Cotton,"Navy, business casual, solid, professional, minimal",images/top/navy_dress_shirt.jpg
Burgundy Oxford Shirt 5,Top,Unisex,Burgundy,Preppy,Office,Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Burgundy, preppy, check",images/top/burgundy_oxford_shirt.jpg
Brown Oxford Shirt 6,Top,Unisex,Brown,Business Casual,"Office, Business Meeting",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Cotton,"Brown, business casual, solid, professional, minimal",images/top/brown_oxford_shirt.jpg
Navy Jeans 7,Bottom,Unisex,Navy,Streetwear,"Travel, Casual Outing",Straight Fit,All Season,"Fair, Medium, Deep","Slim, Average, Broad, Plus Size",Any,Denim,"Navy, streetwear, solid, urban, minimal",images/bottom/navy_jeans.jpg
White Dress Trousers 8,Bottom,Unisex,White,Formal,Wedding,Slim Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic",Mild,Polyester,"White, formal, solid, professional, minimal",images/bottom/white_dress_trousers.jpg
Cream Dress Trousers 9,Bottom,Unisex,Cream,Business Casual,Wedding,Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Polyester,"Cream, business casual, solid, professional, minimal",images/bottom/cream_dress_trousers.jpg
Olive Sandals 10,Shoes,Unisex,Olive,Casual,Beach,Regular Fit,Spring/Summer,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Rubber,"Olive, casual, solid, minimal",images/shoes/olive_sandals.jpg
Grey Dress Shirt 11,Top,Unisex,Grey,Formal,"Office, Interview, Wedding",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Cotton,"Grey, formal, striped, professional",images/top/grey_dress_shirt.jpg
Olive Dress Shirt 12,Top,Unisex,Olive,Business Casual,Office,Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Any,Cotton,"Olive, business casual, striped, professional",images/top/olive_dress_shirt.jpg
Beige Boots 13,Shoes,Unisex,Beige,Streetwear,Party,Regular Fit,Autumn/Winter,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Cool,Suede,"Beige, streetwear, solid, urban, minimal",images/shoes/beige_boots.jpg
Black Boots 14,Shoes,Unisex,Black,Streetwear,"Casual Outing, Travel",Regular Fit,Autumn/Winter,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Cool,Suede,"Black, streetwear, solid, urban, minimal",images/shoes/black_boots.jpg
